Title,Element Name,Level
Computer and Information Systems Managers,Fine Arts,0.74
Computer and Information Systems Managers,History and Archeology,0.06
Computer and Information Systems Managers,Philosophy and Theology,0.69
Computer and Information Systems Managers,Public Safety and Security,1.52
Computer and Information Systems Managers,Law and Government,2.03
Computer and Information Systems Managers,Telecommunications,2.81
Computer and Information Systems Managers,Communications and Media,2.5
Computer and Information Systems Managers,Transportation,0.41
Treasurers and Controllers,Administration and Management,5.93
Treasurers and Controllers,Clerical,3.37
Treasurers and Controllers,Economics and Accounting,6.23
Treasurers and Controllers,Sales and Marketing,1.97
Treasurers and Controllers,Customer and Personal Service,3.6
Treasurers and Controllers,Personnel and Human Resources,4.43
Treasurers and Controllers,Production and Processing,2.38
Treasurers and Controllers,Food Production,0.2
Treasurers and Controllers,Computers and Electronics,4.17
Treasurers and Controllers,Engineering and Technology,1
Treasurers and Controllers,Design,1.07
Treasurers and Controllers,Building and Construction,0.97
Treasurers and Controllers,Mechanical,0.63
Treasurers and Controllers,Mathematics,5.1
Treasurers and Controllers,Physics,0.27
Treasurers and Controllers,Chemistry,0.47
Treasurers and Controllers,Biology,0.43
Treasurers and Controllers,Psychology,2.9
Treasurers and Controllers,Sociology and Anthropology,1.93
Treasurers and Controllers,Geography,1.31
Treasurers and Controllers,Medicine and Dentistry,0.9
Treasurers and Controllers,Therapy and Counseling,1.27
Treasurers and Controllers,Education and Training,3.33
Treasurers and Controllers,English Language,4.27
Treasurers and Controllers,Foreign Language,0.9
Treasurers and Controllers,Fine Arts,0.3
Treasurers and Controllers,History and Archeology,1.03
Treasurers and Controllers,Philosophy and Theology,1.07
Treasurers and Controllers,Public Safety and Security,1.9
Treasurers and Controllers,Law and Government,3.8
Treasurers and Controllers,Telecommunications,1.45
Treasurers and Controllers,Communications and Media,2.2
Treasurers and Controllers,Transportation,1.3
"Financial Managers, Branch or Department",Administration and Management,4.62
"Financial Managers, Branch or Department",Clerical,3.16
"Financial Managers, Branch or Department",Economics and Accounting,4.48
"Financial Managers, Branch or Department",Sales and Marketing,3.64
"Financial Managers, Branch or Department",Customer and Personal Service,4.1
"Financial Managers, Branch or Department",Personnel and Human Resources,3.09
"Financial Managers, Branch or Department",Production and Processing,1.2
"Financial Managers, Branch or Department",Food Production,0
"Financial Managers, Branch or Department",Computers and Electronics,3.34
"Financial Managers, Branch or Department",Engineering and Technology,0.64
"Financial Managers, Branch or Department",Design,0.8
"Financial Managers, Branch or Department",Building and Construction,0.86
"Financial Managers, Branch or Department",Mechanical,0.59
"Financial Managers, Branch or Department",Mathematics,4.25
"Financial Managers, Branch or Department",Physics,0.01
"Financial Managers, Branch or Department",Chemistry,0.05
"Financial Managers, Branch or Department",Biology,0.04
"Financial Managers, Branch or Department",Psychology,2.96
"Financial Managers, Branch or Department",Sociology and Anthropology,1.81
"Financial Managers, Branch or Department",Geography,0.39
"Financial Managers, Branch or Department",Medicine and Dentistry,0.02
"Financial Managers, Branch or Department",Therapy and Counseling,0.69
"Financial Managers, Branch or Department",Education and Training,3.17
"Financial Managers, Branch or Department",English Language,4.23
"Financial Managers, Branch or Department",Foreign Language,0.28
"Financial Managers, Branch or Department",Fine Arts,0.34
"Financial Managers, Branch or Department",History and Archeology,0.07
"Financial Managers, Branch or Department",Philosophy and Theology,0.36
"Financial Managers, Branch or Department",Public Safety and Security,1.79
"Financial Managers, Branch or Department",Law and Government,3.16
"Financial Managers, Branch or Department",Telecommunications,1.07
"Financial Managers, Branch or Department",Communications and Media,2.59
"Financial Managers, Branch or Department",Transportation,0.84
Industrial Production Managers,Administration and Management,5.34
Industrial Production Managers,Clerical,3.63
Industrial Production Managers,Economics and Accounting,2.48
Industrial Production Managers,Sales and Marketing,2.43
Industrial Production Managers,Customer and Personal Service,4.84
Industrial Production Managers,Personnel and Human Resources,4.59
Industrial Production Managers,Production and Processing,5.62
Industrial Production Managers,Food Production,0.59
Industrial Production Managers,Computers and Electronics,3.99
Industrial Production Managers,Engineering and Technology,4.13
Industrial Production Managers,Design,2.99
Industrial Production Managers,Building and Construction,1.52
Industrial Production Managers,Mechanical,4.22
Industrial Production Managers,Mathematics,4.4
Industrial Production Managers,Physics,2.18
Industrial Production Managers,Chemistry,2.28
Industrial Production Managers,Biology,0.54
Industrial Production Managers,Psychology,3.4
Industrial Production Managers,Sociology and Anthropology,1.79
Industrial Production Managers,Geography,1.31
Industrial Production Managers,Medicine and Dentistry,0.87
Industrial Production Managers,Therapy and Counseling,1.31
Industrial Production Managers,Education and Training,4.61
Industrial Production Managers,English Language,3.63
Industrial Production Managers,Foreign Language,0.49
Industrial Production Managers,Fine Arts,0.1
Industrial Production Managers,History and Archeology,0.19
Industrial Production Managers,Philosophy and Theology,1.09
Industrial Production Managers,Public Safety and Security,2.94
Industrial Production Managers,Law and Government,2.72
Industrial Production Managers,Telecommunications,1.5
Industrial Production Managers,Communications and Media,2.05
Industrial Production Managers,Transportation,2.64
Quality Control Systems Managers,Administration and Management,4.51
Quality Control Systems Managers,Clerical,4.78
Quality Control Systems Managers,Economics and Accounting,1.95
Quality Control Systems Managers,Sales and Marketing,1.46
Quality Control Systems Managers,Customer and Personal Service,4.1
Quality Control Systems Managers,Personnel and Human Resources,4.24
Quality Control Systems Managers,Production and Processing,3.8
Quality Control Systems Managers,Food Production,1.27
Quality Control Systems Managers,Computers and Electronics,4.09
Quality Control Systems Managers,Engineering and Technology,3.09
Quality Control Systems Managers,Design,1.96
Quality Control Systems Managers,Building and Construction,1.48
Quality Control Systems Managers,Mechanical,2.77
Quality Control Systems Managers,Mathematics,4.31
Quality Control Systems Managers,Physics,2.8
Quality Control Systems Managers,Chemistry,4.63
Quality Control Systems Managers,Biology,3.8
Quality Control Systems Managers,Psychology,2.82
Quality Control Systems Managers,Sociology and Anthropology,0.97
Quality Control Systems Managers,Geography,1.19
Quality Control Systems Managers,Medicine and Dentistry,1.16
Quality Control Systems Managers,Therapy and Counseling,1.17
Quality Control Systems Managers,Education and Training,5.68
Quality Control Systems Managers,English Language,4.13
Quality Control Systems Managers,Foreign Language,0.76
Quality Control Systems Managers,Fine Arts,0
Quality Control Systems Managers,History and Archeology,0.09
Quality Control Systems Managers,Philosophy and Theology,0.45
Quality Control Systems Managers,Public Safety and Security,2.55
Quality Control Systems Managers,Law and Government,3.58
Quality Control Systems Managers,Telecommunications,0.61
Quality Control Systems Managers,Communications and Media,2.8
Quality Control Systems Managers,Transportation,1.72
Geothermal Production Managers,Administration and Management,4.63
Geothermal Production Managers,Clerical,4.59
Geothermal Production Managers,Economics and Accounting,3.04
Geothermal Production Managers,Sales and Marketing,1.35
Geothermal Production Managers,Customer and Personal Service,3.1
Geothermal Production Managers,Personnel and Human Resources,4.36
Geothermal Production Managers,Production and Processing,4.64
Geothermal Production Managers,Food Production,0.17
Geothermal Production Managers,Computers and Electronics,4.2
Geothermal Production Managers,Engineering and Technology,4.83
Geothermal Production Managers,Design,3.95
Geothermal Production Managers,Building and Construction,4.53
Geothermal Production Managers,Mechanical,5.89
Geothermal Production Managers,Mathematics,4.63
Geothermal Production Managers,Physics,4.68
Geothermal Production Managers,Chemistry,4.56
Geothermal Production Managers,Biology,2.81
Geothermal Production Managers,Psychology,3.56
Geothermal Production Managers,Sociology and Anthropology,2.21
Geothermal Production Managers,Geography,2.45
Geothermal Production Managers,Medicine and Dentistry,1.65
Geothermal Production Managers,Therapy and Counseling,2.76
Geothermal Production Managers,Education and Training,5.36
Geothermal Production Managers,English Language,3.84
Geothermal Production Managers,Foreign Language,1.34
Geothermal Production Managers,Fine Arts,0.24
Geothermal Production Managers,History and Archeology,0.73
Geothermal Production Managers,Philosophy and Theology,2.79
Geothermal Production Managers,Public Safety and Security,4.64
Geothermal Production Managers,Law and Government,3.54
Geothermal Production Managers,Telecommunications,2.92
Geothermal Production Managers,Communications and Media,2.52
Geothermal Production Managers,Transportation,2.31
Biofuels Production Managers,Administration and Management,4.96
Biofuels Production Managers,Clerical,4.28
Biofuels Production Managers,Economics and Accounting,2.98
Biofuels Production Managers,Sales and Marketing,2.81
Biofuels Production Managers,Customer and Personal Service,4.03
Biofuels Production Managers,Personnel and Human Resources,3.99
Biofuels Production Managers,Production and Processing,5.6
Biofuels Production Managers,Food Production,3.3
Biofuels Production Managers,Computers and Electronics,3.96
Biofuels Production Managers,Engineering and Technology,4.79
Biofuels Production Managers,Design,4.04
Biofuels Production Managers,Building and Construction,3.91
Biofuels Production Managers,Mechanical,5.41
Biofuels Production Managers,Mathematics,4.46
Biofuels Production Managers,Physics,3.63
Biofuels Production Managers,Chemistry,4.68
Biofuels Production Managers,Biology,3.27
Biofuels Production Managers,Psychology,3.19
Biofuels Production Managers,Sociology and Anthropology,1.67
Biofuels Production Managers,Geography,2.18
Biofuels Production Managers,Medicine and Dentistry,0.64
Biofuels Production Managers,Therapy and Counseling,1.08
Biofuels Production Managers,Education and Training,4.47
Biofuels Production Managers,English Language,3.56
Biofuels Production Managers,Foreign Language,0.46
Biofuels Production Managers,Fine Arts,0.03
Biofuels Production Managers,History and Archeology,0.44
Biofuels Production Managers,Philosophy and Theology,0.75
Biofuels Production Managers,Public Safety and Security,3.65
Biofuels Production Managers,Law and Government,2.77
Biofuels Production Managers,Telecommunications,1.44
Biofuels Production Managers,Communications and Media,1.89
Biofuels Production Managers,Transportation,3.26
Biomass Power Plant Managers,Administration and Management,4.42
Biomass Power Plant Managers,Clerical,3.95
Biomass Power Plant Managers,Economics and Accounting,3.56
Biomass Power Plant Managers,Sales and Marketing,1.58
Biomass Power Plant Managers,Customer and Personal Service,3.35
Biomass Power Plant Managers,Personnel and Human Resources,3.91
Biomass Power Plant Managers,Production and Processing,4.9
Biomass Power Plant Managers,Food Production,1.45
Biomass Power Plant Managers,Computers and Electronics,4.13
Biomass Power Plant Managers,Engineering and Technology,4.79
Biomass Power Plant Managers,Design,3.79
Biomass Power Plant Managers,Building and Construction,3.65
Biomass Power Plant Managers,Mechanical,5.04
Biomass Power Plant Managers,Mathematics,4.26
Biomass Power Plant Managers,Physics,4.22
Biomass Power Plant Managers,Chemistry,3.92
Biomass Power Plant Managers,Biology,1.62
Biomass Power Plant Managers,Psychology,2.77
Biomass Power Plant Managers,Sociology and Anthropology,0.83
Biomass Power Plant Managers,Geography,0.82
Biomass Power Plant Managers,Medicine and Dentistry,0.81
Biomass Power Plant Managers,Therapy and Counseling,2.01
Biomass Power Plant Managers,Education and Training,4.17
Biomass Power Plant Managers,English Language,3.51
Biomass Power Plant Managers,Foreign Language,1.07
Biomass Power Plant Managers,Fine Arts,0.03
Biomass Power Plant Managers,History and Archeology,0.08
Biomass Power Plant Managers,Philosophy and Theology,0.87
Biomass Power Plant Managers,Public Safety and Security,3.51
Biomass Power Plant Managers,Law and Government,3.33
Biomass Power Plant Managers,Telecommunications,1.43
Biomass Power Plant Managers,Communications and Media,1.95
Biomass Power Plant Managers,Transportation,2.65
Hydroelectric Production Managers,Administration and Management,4.3
Hydroelectric Production Managers,Clerical,3.77
Hydroelectric Production Managers,Economics and Accounting,2.68
Hydroelectric Production Managers,Sales and Marketing,1.24
Hydroelectric Production Managers,Customer and Personal Service,3.04
Hydroelectric Production Managers,Personnel and Human Resources,4.12
Hydroelectric Production Managers,Production and Processing,4.32
Hydroelectric Production Managers,Food Production,0.03
Hydroelectric Production Managers,Computers and Electronics,4.35
Hydroelectric Production Managers,Engineering and Technology,4.55
Hydroelectric Production Managers,Design,3.87
Hydroelectric Production Managers,Building and Construction,4.22
Hydroelectric Production Managers,Mechanical,5.48
Hydroelectric Production Managers,Mathematics,4.2
Hydroelectric Production Managers,Physics,4.11
Hydroelectric Production Managers,Chemistry,3.36
Hydroelectric Production Managers,Biology,1.18
Hydroelectric Production Managers,Psychology,3.63
Hydroelectric Production Managers,Sociology and Anthropology,1.84
Hydroelectric Production Managers,Geography,3.14
Hydroelectric Production Managers,Medicine and Dentistry,1.21
Hydroelectric Production Managers,Therapy and Counseling,1.8
Hydroelectric Production Managers,Education and Training,4.59
Hydroelectric Production Managers,English Language,3.96
Hydroelectric Production Managers,Foreign Language,0.2
Hydroelectric Production Managers,Fine Arts,0.03
Hydroelectric Production Managers,History and Archeology,1.06
Hydroelectric Production Managers,Philosophy and Theology,1.3
Hydroelectric Production Managers,Public Safety and Security,4.55
Hydroelectric Production Managers,Law and Government,3.72
Hydroelectric Production Managers,Telecommunications,2.75
Hydroelectric Production Managers,Communications and Media,2.56
Hydroelectric Production Managers,Transportation,1.61
Purchasing Managers,Administration and Management,5.08
Purchasing Managers,Clerical,4.29
Purchasing Managers,Economics and Accounting,3.83
Purchasing Managers,Sales and Marketing,3.5
Purchasing Managers,Customer and Personal Service,4.5
Purchasing Managers,Personnel and Human Resources,4.17
Purchasing Managers,Production and Processing,4.83
Purchasing Managers,Food Production,0.88
Purchasing Managers,Computers and Electronics,3.96
Purchasing Managers,Engineering and Technology,3.54
Purchasing Managers,Design,3.33
Purchasing Managers,Building and Construction,2.5
Purchasing Managers,Mechanical,3.04
Purchasing Managers,Mathematics,4.58
Purchasing Managers,Physics,1.29
Purchasing Managers,Chemistry,2.08
Purchasing Managers,Biology,1.21
Purchasing Managers,Psychology,3.5
Purchasing Managers,Sociology and Anthropology,2.04
Purchasing Managers,Geography,3.17
Purchasing Managers,Medicine and Dentistry,0.52
Purchasing Managers,Therapy and Counseling,0.83
Purchasing Managers,Education and Training,3.5
Purchasing Managers,English Language,4.33
Purchasing Managers,Foreign Language,1.92
Purchasing Managers,Fine Arts,0.42
Purchasing Managers,History and Archeology,1
Purchasing Managers,Philosophy and Theology,1.29
Purchasing Managers,Public Safety and Security,2.5
Purchasing Managers,Law and Government,3.67
Purchasing Managers,Telecommunications,1.75
Purchasing Managers,Communications and Media,3
Purchasing Managers,Transportation,3.83
Transportation Managers,Administration and Management,4.9
Transportation Managers,Clerical,3.97
Transportation Managers,Economics and Accounting,3.1
Transportation Managers,Sales and Marketing,3.44
Transportation Managers,Customer and Personal Service,5.31
Transportation Managers,Personnel and Human Resources,4.26
Transportation Managers,Production and Processing,3.5
Transportation Managers,Food Production,1.71
Transportation Managers,Computers and Electronics,3.85
Transportation Managers,Engineering and Technology,2.39
Transportation Managers,Design,1.57
Transportation Managers,Building and Construction,1.45
Transportation Managers,Mechanical,1.92
Transportation Managers,Mathematics,3.8
Transportation Managers,Physics,0.95
Transportation Managers,Chemistry,1.32
Transportation Managers,Biology,0.94
Transportation Managers,Psychology,2.95
Transportation Managers,Sociology and Anthropology,1.61
Transportation Managers,Geography,2.73
Transportation Managers,Medicine and Dentistry,0.47
Transportation Managers,Therapy and Counseling,1.87
Transportation Managers,Education and Training,3.78
Transportation Managers,English Language,3.26
Transportation Managers,Foreign Language,0.8
Transportation Managers,Fine Arts,0.09
Transportation Managers,History and Archeology,0.73
Transportation Managers,Philosophy and Theology,1.32
Transportation Managers,Public Safety and Security,3.8
Transportation Managers,Law and Government,3.04
Transportation Managers,Telecommunications,1.75
Transportation Managers,Communications and Media,2.15
Transportation Managers,Transportation,4.47
Storage and Distribution Managers,Administration and Management,4.92
Storage and Distribution Managers,Clerical,5.08
Storage and Distribution Managers,Economics and Accounting,4.04
Storage and Distribution Managers,Sales and Marketing,4
Storage and Distribution Managers,Customer and Personal Service,5.35
Storage and Distribution Managers,Personnel and Human Resources,4.78
Storage and Distribution Managers,Production and Processing,4.7
Storage and Distribution Managers,Food Production,2.55
Storage and Distribution Managers,Computers and Electronics,4.5
