Title,SupplementalTasks,CoreTasks,Technology,Description
Distance Learning Coordinators,"['Conduct inventories of distance learning equipment, summarizing equipment usage data.']","['Communicate to faculty, students, or other users availability of, or changes to, distance learning courses or materials, programs, services, or applications.', 'Develop distance learning program goals or plans, including equipment replacement, quality assurance, or course offering plans.', 'Supervise distance learning support staff.', 'Assess distance-learning technological or educational needs and goals.', 'Train instructors and distance learning staff in the use or support of distance learning applications, such as course management software.', 'Prepare and manage distance learning program budgets.', 'Troubleshoot and resolve problems with distance learning equipment or applications.', 'Analyze data to assess distance learning program status or to inform decisions for distance learning programs.', 'Prepare reports summarizing distance learning statistical data or describing distance learning program objectives and accomplishments.', 'Purchase equipment or services in accordance with distance learning plans and budget constraints.', 'Create and maintain web sites or databases that support distance learning programs.', 'Monitor technological developments in distance learning for technological means to educational or outreach goals.', 'Evaluate the effectiveness of distance learning programs in promoting knowledge or skill acquisition.', 'Provide technical or logistical support to users of distance learning classrooms, equipment, web sites, or services.', 'Develop or provide technical resources, such as course management and videoconferencing systems, networking, and webcasting, for distance learning programs.', 'Review distance learning content to ensure compliance with copyright, licensing, or other requirements.', 'Select, direct, and monitor the work of vendors that provide products or services for distance learning programs.', 'Prepare and distribute schedules of distance learning resources, such as course offerings, classrooms, laboratories, equipment, and web sites.', 'Communicate technical or marketing information about distance learning via podcasts, webinars, and other technologies.', 'Negotiate with academic units or instructors and vendors to ensure cost-effective and high-quality distance learning programs, services, or courses.', 'Direct and support the technical operation of distance learning classrooms or equipment.', 'Write and submit grant applications or proposals to secure funding for distance learning programs.']","['Adobe Systems Adobe Acrobat', 'Adobe Systems Adobe Dreamweaver', 'Adobe Systems Adobe Flash', 'Blackboard', 'C#', 'C++', 'Extensible markup language XML', 'Facebook', 'Hypertext markup language HTML', 'LinkedIn', 'Microsoft .NET Framework', 'Microsoft Access', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Publisher', 'Oracle Java', 'Oracle PeopleSoft', 'SAP', 'SAP Crystal Reports', 'YouTube']",Coordinate day-to-day operations of distance learning programs and schedule courses.
Fitness and Wellness Coordinators,[],"['Manage or oversee fitness or recreation facilities, ensuring safe and clean facilities and equipment.', 'Provide individual support or counseling in general wellness or nutrition.', 'Supervise fitness or wellness specialists, such as fitness instructors, nutritionists, or health educators.', 'Conduct needs assessments or surveys to determine interest in, or satisfaction with, wellness and fitness programs, events, or services.', 'Develop or coordinate fitness and wellness programs or services.', 'Prepare or implement budgets and strategic, operational, purchasing, or maintenance plans.', 'Track cost-containment strategies and programs to evaluate effectiveness.', 'Maintain wellness- and fitness-related schedules, records, or reports.', 'Develop fitness or wellness classes, such as yoga, aerobics, strength training, or aquatics, ensuring a diversity of class offerings.', 'Select or supervise contractors, such as event hosts or health, fitness, and wellness practitioners.', 'Recommend or approve new program or service offerings to promote wellness and fitness, produce revenues, or minimize costs.', 'Develop marketing campaigns to promote a healthy lifestyle or participation in fitness or wellness programs.', 'Track attendance, participation, or performance data related to wellness events.', 'Demonstrate proper operation of fitness equipment, such as resistance machines, cardio machines, free weights, or fitness assessment devices.', 'Organize and oversee fitness or wellness programs, such as information presentations, blood drives, or training in first aid or cardiopulmonary resuscitation (CPR).', 'Conduct or facilitate training sessions or seminars for wellness and fitness staff.', 'Respond to customer, public, or media requests for information about wellness programs or services.', 'Interpret insurance data or Health Reimbursement Account (HRA) data to develop programs that address specific needs of target populations.', 'Maintain or arrange for maintenance of fitness equipment or facilities.', 'Organize and oversee health screenings or other preventive measures, such as mammography, blood pressure, or cholesterol screenings or flu vaccinations.', 'Use computer skills and software to manage Web sites or databases, publish newsletters, or provide webinars.', 'Teach fitness classes to improve strength, flexibility, cardiovascular conditioning, or general fitness of participants.', 'Organize and oversee events such as organized runs or walks.']","['Adobe Systems Adobe Acrobat', 'Data entry software', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Publisher']","Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors."
Architectural and Engineering Managers,"['Establish scientific or technical goals within broad outlines provided by top management.', 'Evaluate environmental regulations or social pressures related to environmental issues to inform strategic or operational decision-making.', 'Solicit project support by conferring with officials or providing information to the public.', 'Develop or implement programs to improve sustainability or reduce the environmental impacts of engineering or architecture activities or operations.', 'Evaluate the environmental impacts of engineering, architecture, or research and development activities.', 'Direct the engineering of water control, treatment, or distribution projects.', 'Identify environmental threats or opportunities associated with the development and launch of new technologies.', 'Plan, direct, or coordinate survey work with other project activities.', 'Administer highway planning, construction, or maintenance.']","['Manage the coordination and overall integration of technical activities in architecture or engineering projects.', 'Direct, review, or approve project design changes.', 'Confer with management, production, or marketing staff to discuss project specifications or procedures.', 'Present and explain proposals, reports, or findings to clients.', 'Consult or negotiate with clients to prepare project specifications.', 'Prepare budgets, bids, or contracts.', 'Assess project feasibility by analyzing technology, resource needs, or market demand.', 'Direct recruitment, placement, and evaluation of architecture or engineering project staff.', 'Review, recommend, or approve contracts or cost estimates.', 'Develop or implement policies, standards, or procedures for engineering and technical work.', 'Plan or direct the installation, testing, operation, maintenance, or repair of facilities or equipment.', 'Perform administrative functions, such as reviewing or writing reports, approving expenditures, enforcing rules, or purchasing of materials or services.']","['Agile Product Lifecyle Management PLM', 'Apache Cassandra', 'Apache Hadoop', 'Apache Maven', 'Apache Pig', 'Apache Solr', 'Aptean Made2Manage', 'Atlassian JIRA', 'Autodesk AutoCAD', 'Autodesk AutoCAD Civil 3D', 'Autodesk Revit', 'Autodesk VIZ', 'Backbone.js', 'Bentley MicroStation', 'C', 'C#', 'C++', 'Computer aided design and drafting software CADD', 'Computer aided manufacturing CAM software', 'Customer information control system CICS', 'Dassault Systemes CATIA', 'Dassault Systemes SOLIDWORKS', 'Data entry software', 'Delcam PowerMILL', 'Drawing and drafting software', 'ESRI ArcGIS software', 'Extensible markup language XML', 'Geographic information system GIS software', 'Geometric CAMWorks', 'Hewlett-Packard HP SolidDesigner', 'IBM Notes', 'JavaScript', 'LAMP Stack', 'Linux', 'Microsoft Access', 'Microsoft Dynamics NAV', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Visio', 'Microsoft Visual Basic', 'Minitab', 'MongoDB', 'MySQL', 'National Instruments LabVIEW', 'Node.js', 'NoSQL', 'Objective C', 'Open Mind hyperMILL', 'Oracle Java', 'Oracle JD Edwards EnterpriseOne', 'Oracle Primavera Enterprise Project Portfolio Management', 'PHP: Hypertext Preprocessor', 'PostgreSQL', 'Practical extraction and reporting language Perl', 'PTC Creo Parametric', 'Puppet', 'Python', 'R', 'Ruby on Rails', 'SAP', 'Splunk Enterprise', 'SPSS', 'Structured query language SQL', 'The MathWorks MATLAB', 'UNIX', 'Verilog', 'Wireshark']","Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields."
Biofuels/Biodiesel Technology and Product Development Managers,"['Develop methods to estimate the efficiency of biomass pretreatments.', 'Develop carbohydrates arrays and associated methods for screening enzymes involved in biomass conversion.', 'Perform protein functional analysis and engineering for processing of feedstock and creation of biofuels.', 'Conduct research to breed or develop energy crops with improved biomass yield, environmental adaptability, pest resistance, production efficiency, bioprocessing characteristics, or reduced environmental impacts.', 'Develop computational tools or approaches to improve biofuels research and development activities.', 'Develop separation processes to recover biofuels.', 'Design chemical conversion processes, such as etherification, esterification, interesterification, transesterification, distillation, hydrogenation, oxidation or reduction of fats and oils, and vegetable oil refining.', 'Design or execute solvent or product recovery experiments in laboratory or field settings.', 'Develop methods to recover ethanol or other fuels from complex bioreactor liquid and gas streams.']","['Design or conduct applied biodiesel or biofuels research projects on topics such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation.', 'Analyze data from biofuels studies, such as fluid dynamics, water treatments, or solvent extraction and recovery processes.', 'Prepare, or oversee the preparation of, experimental plans for biofuels research or development.', 'Provide technical or scientific guidance to technical staff in the conduct of biofuels research or development.', 'Propose new biofuels products, processes, technologies or applications based on findings from applied biofuels or biomass research projects.', 'Conduct experiments on biomass or pretreatment technologies.', 'Prepare biofuels research and development reports for senior management or technical professionals.', 'Develop lab scale models of industrial scale processes, such as fermentation.', 'Oversee biodiesel/biofuels prototyping or development projects.', 'Conduct experiments to test new or alternate feedstock fermentation processes.']","['Computer aided design CAD software', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Project', 'SAP']","Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential."
Food Service Managers,"['Monitor employee and patron activities to ensure liquor regulations are obeyed.', 'Monitor budgets and payroll records, and review financial transactions to ensure that expenditures are authorized and budgeted.', 'Estimate food, liquor, wine, and other beverage consumption to anticipate amounts to be purchased or requisitioned.', 'Schedule use of facilities or catering services for events such as banquets or receptions, and negotiate details of arrangements with clients.', 'Take dining reservations.', 'Plan menus and food utilization, based on anticipated number of guests, nutritional value, palatability, popularity, and costs.', 'Establish and enforce nutritional standards for dining establishments, based on accepted industry standards.', 'Create specialty dishes and develop recipes to be used in dining facilities.']","['Keep records required by government agencies regarding sanitation or food subsidies.', 'Investigate and resolve complaints regarding food quality, service, or accommodations.', 'Maintain food and equipment inventories, and keep inventory records.', 'Monitor food preparation methods, portion sizes, and garnishing and presentation of food to ensure that food is prepared and presented in an acceptable manner.', 'Schedule and receive food and beverage deliveries, checking delivery contents to verify product quality and quantity.', 'Coordinate assignments of cooking personnel to ensure economical use of food and timely preparation.', 'Monitor compliance with health and fire regulations regarding food preparation and serving, and building maintenance in lodging and dining facilities.', 'Count money and make bank deposits.', 'Establish standards for personnel performance and customer service.', 'Perform some food preparation or service tasks, such as cooking, clearing tables, and serving food and drinks when necessary.', 'Greet guests, escort them to their seats, and present them with menus and wine lists.', 'Test cooked food by tasting and smelling it to ensure palatability and flavor conformity.', 'Schedule staff hours and assign duties.', 'Arrange for equipment maintenance and repairs, and coordinate a variety of services, such as waste removal and pest control.', 'Review menus and analyze recipes to determine labor and overhead costs, and assign prices to menu items.', 'Organize and direct worker training programs, resolve personnel problems, hire new staff, and evaluate employee performance in dining and lodging facilities.', 'Review work procedures and operational problems to determine ways to improve service, performance, or safety.', 'Assess staffing needs and recruit staff, using methods such as newspaper advertisements or attendance at job fairs.', 'Order and purchase equipment and supplies.', 'Record the number, type, and cost of items sold to determine which items may be unpopular or less profitable.']","['Adobe Systems Adobe Flash', 'Delphi Technology', 'IBM Domino', 'Intuit QuickBooks', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint']","Plan, direct, or coordinate activities of an organization or department that serves food and beverages."
Funeral Service Managers,"['Interview and hire new employees.', 'Conduct market research and analyze industry trends.']","['Consult with families or friends of the deceased to arrange funeral details, such as obituary notice wording, casket selection, or plans for services.', 'Direct and supervise work of embalmers, funeral attendants, death certificate clerks, cosmetologists, or other staff.', 'Schedule funerals, burials, or cremations.', 'Sell funeral services, products, or merchandise to clients.', 'Monitor funeral service operations to ensure that they comply with applicable policies, regulations, and laws.', 'Offer counsel and comfort to families and friends of the deceased.', 'Negotiate contracts for prearranged funeral services.', 'Respond to customer complaints, legal inquiries, payment negotiations, or other post-service matters.', 'Plan and implement changes to service offerings to meet community needs or increase funeral home revenues.', 'Direct or monitor administrative, support, repair, or maintenance services for funeral homes.', 'Schedule work hours for funeral home or contract employees.', 'Set marketing, sales, or other financial goals for funeral service establishments and monitor progress toward these goals.', 'Explain goals, policies, or procedures to staff members.', 'Complete and maintain records such as state-required documents, tracking documents, or product inventories.', 'Evaluate the performance of vendors, contract employees, or other service providers to ensure quality and cost-efficiency.', 'Set prices or credit terms for funeral products or services.', 'Review financial statements, sales or activity reports, or other performance data to identify opportunities for cost reductions or service improvements.', 'Identify skill development needs for funeral home staff.', 'Attend or make presentations at community events to promote funeral home services or build community relationships.', 'Plan and implement sales promotions or other marketing strategies and activities for funeral home operations.']","['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint']","Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes."
Gaming Managers,"['Record, collect, or pay off bets, issuing receipts as necessary.', 'Direct the compilation of summary sheets that show wager amounts and payoffs for races or events.', 'Monitor credit extended to players.', 'Notify board attendants of table vacancies so that waiting patrons can play.']","['Remove suspected cheaters, such as card counters or other players who may have systems that shift the odds of winning to their favor.', 'Circulate among gaming tables to ensure that operations are conducted properly, that dealers follow house rules, or that players are not cheating.', 'Explain and interpret house rules, such as game rules or betting limits.', 'Track supplies of money to tables and perform any required paperwork.', 'Resolve customer complaints regarding problems such as payout errors.', 'Market or promote the casino to bring in business.', 'Prepare work schedules and station arrangements and keep attendance records.', 'Set and maintain a bank and table limit for each game.', 'Maintain familiarity with all games used at a facility, as well as strategies or tricks employed in those games.', 'Monitor staffing levels to ensure that games and tables are adequately staffed for each shift, arranging for staff rotations and breaks and locating substitute employees as necessary.', 'Review operational expenses, budget estimates, betting accounts, or collection reports for accuracy.', 'Train new workers or evaluate their performance.', 'Interview and hire workers.', 'Direct the distribution of complimentary hotel rooms, meals, or other discounts or free items given to players, based on their length of play and betting totals.', 'Establish policies on issues such as the type of gambling offered and the odds, the extension of credit, or the serving of food and beverages.']","['Data entry software', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint']","Plan, direct, or coordinate gaming operations in a casino. May formulate house rules."
Lodging Managers,"['Meet with clients to schedule and plan details of conventions, banquets, receptions and other functions.', 'Book tickets for guests for local tours and attractions.']","[""Answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints."", 'Participate in financial activities, such as the setting of room rates, the establishment of budgets, and the allocation of funds to departments.', 'Confer and cooperate with other managers to ensure coordination of hotel activities.', 'Greet and register guests.', 'Monitor the revenue activity of the hotel or facility.', 'Manage and maintain temporary or permanent lodging facilities.', 'Train staff members.', ""Observe and monitor staff performance to ensure efficient operations and adherence to facility's policies and procedures."", 'Coordinate front-office activities of hotels or motels, and resolve problems.', 'Inspect guest rooms, public areas, and grounds for cleanliness and appearance.', 'Assign duties to workers, and schedule shifts.', 'Receive and process advance registration payments, mail letters of confirmation, or return checks when registrations cannot be accepted.', 'Interview and hire applicants.', 'Purchase supplies, and arrange for outside services, such as deliveries, laundry, maintenance and repair, and trash collection.', 'Collect payments and record data pertaining to funds and expenditures.', 'Develop and implement policies and procedures for the operation of a department or establishment.', 'Prepare required paperwork pertaining to departmental functions.', 'Show, rent, or assign accommodations.', 'Perform marketing and public relations activities.', 'Organize and coordinate the work of staff and convention personnel for meetings to be held at a particular facility.', 'Provide assistance to staff members by inspecting rooms, setting tables, or doing laundry.', 'Arrange telephone answering services, deliver mail and packages, or answer questions regarding locations for eating and entertainment.']","['Delphi Technology', 'Microsoft Excel', 'Microsoft PowerPoint', 'Oracle JD Edwards EnterpriseOne']","Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations."
Medical and Health Services Managers,"['Monitor the use of diagnostic services, inpatient beds, facilities, and staff to ensure effective use of resources and assess the need for additional staff, equipment, and services.', 'Inspect facilities and recommend building or equipment modifications to ensure emergency readiness and compliance to access, safety, and sanitation regulations.', 'Develop or expand and implement medical programs or health services that promote research, rehabilitation, and community health.', 'Consult with medical, business, and community groups to discuss service problems, respond to community needs, enhance public relations, coordinate activities and plans, and promote health programs.']","['Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.', 'Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.', 'Direct or conduct recruitment, hiring, and training of personnel.', 'Develop and implement organizational policies and procedures for the facility or medical unit.', 'Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.', 'Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.', 'Plan, implement and administer programs and services in a health care or medical facility, including personnel administration, training, and coordination of medical, nursing and physical plant staff.', 'Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.', 'Establish work schedules and assignments for staff, according to workload, space and equipment availability.', 'Maintain communication between governing boards, medical staff, and department heads by attending board meetings and coordinating interdepartmental functioning.', 'Establish objectives and evaluative or operational criteria for units they manage.', 'Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.', 'Manage change in integrated health care delivery systems, such as work restructuring, technological innovations, and shifts in the focus of care.', 'Develop instructional materials and conduct in-service and community-based educational programs.']","['Adobe Systems Adobe Acrobat', 'Adobe Systems Adobe Flash', 'Apache Hadoop', 'Apache Pig', 'Blackboard', 'Citrix', 'Data entry software', 'Delphi Technology', 'Epic Systems', 'Facebook', 'FileMaker Pro', 'Geographic information system GIS software', 'Google AdWords', 'Healthcare common procedure coding system HCPCS', 'Human resource management software HRMS', 'IBM Cognos Impromptu', 'IBM Domino', 'IBM Notes', 'Integrated development environment IDE software', 'Intuit QuickBooks', 'LexisNexis', 'Medical condition coding software', 'Medical procedure coding software', 'MEDITECH software', 'Microsoft Access', 'Microsoft Excel', 'Microsoft Exchange Server', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Publisher', 'Microsoft SharePoint', 'Microsoft SQL Server Reporting Services', 'Microsoft Visio', 'Minitab', 'Oracle Business Intelligence Enterprise Edition', 'Oracle Fusion Applications', 'Oracle Hyperion', 'Oracle JD Edwards EnterpriseOne', 'Oracle PeopleSoft', 'Oracle PeopleSoft Financials', 'Oracle Primavera Enterprise Project Portfolio Management', 'Qlik Tech QlikView', 'Sage 50 Accounting', 'Salesforce software', 'SAP Business Objects', 'SAP Crystal Reports', 'SAS', 'SPSS', 'StataCorp Stata', 'Structured query language SQL', 'Veritas NetBackup']","Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations."
Natural Sciences Managers,"['Provide for stewardship of plant or animal resources or habitats, studying land use, monitoring animal populations, or providing shelter, resources, or medical treatment for animals.', 'Advise or assist in obtaining patents or meeting other legal requirements.']","['Confer with scientists, engineers, regulators, or others to plan or review projects or to provide technical assistance.', 'Develop client relationships and communicate with clients to explain proposals, present research findings, establish specifications, or discuss project status.', 'Plan or direct research, development, or production activities.', 'Review project activities and prepare and review research, testing, or operational reports.', 'Determine scientific or technical goals within broad outlines provided by top management and make detailed plans to accomplish these goals.', 'Develop or implement policies, standards, or procedures for the architectural, scientific, or technical work performed to ensure regulatory compliance or operations enhancement.', 'Hire, supervise, or evaluate engineers, technicians, researchers, or other staff.', 'Design or coordinate successive phases of problem analysis, solution proposals, or testing.', 'Recruit personnel or oversee the development or maintenance of staff competence.', 'Prepare project proposals.', 'Conduct own research in field of expertise.', 'Prepare and administer budgets, approve and review expenditures, and prepare financial reports.', 'Make presentations at professional meetings to further knowledge in the field.', 'Develop innovative technology or train staff for its implementation.']","['Adobe Systems Adobe Photoshop', 'ESRI ArcGIS software', 'Microsoft Access', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Project', 'Microsoft Visio', 'SAS', 'SPSS', 'StataCorp Stata', 'Structured query language SQL', 'The MathWorks MATLAB']","Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields."
Clinical Research Coordinators,"['Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.', 'Perform specific protocol procedures such as interviewing subjects, taking vital signs, and performing electrocardiograms.', 'Dispense medical devices or drugs, and calculate dosages and provide instructions as necessary.', 'Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.', 'Inform patients or caregivers about study aspects and outcomes to be expected.', 'Direct the requisition, collection, labeling, storage, or shipment of specimens.', 'Register protocol patients with appropriate statistical centers as required.', 'Interpret protocols and advise treating physicians on appropriate dosage modifications or treatment calculations based on patient characteristics.', 'Arrange for research study sites and determine staff or equipment availability.', 'Contact outside health care providers and communicate with subjects to obtain follow-up information.', 'Contact industry representatives to ensure equipment and software specifications necessary for successful study completion.', 'Solicit industry-sponsored trials through contacts and professional organizations.', 'Organize space for study equipment and supplies.', 'Develop advertising and other informational materials to be used in subject recruitment.']","['Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.', 'Oversee subject enrollment to ensure that informed consent is properly obtained and documented.', 'Monitor study activities to ensure compliance with protocols and with all relevant local, federal, and state regulatory and institutional polices.', 'Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.', 'Assess eligibility of potential subjects through methods such as screening interviews, reviews of medical records, or discussions with physicians and nurses.', 'Prepare for or participate in quality assurance audits conducted by study sponsors, federal agencies, or specially designated review groups.', 'Identify protocol problems, inform investigators of problems, or assist in problem resolution efforts, such as protocol revisions.', 'Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.', 'Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.', 'Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.', 'Code, evaluate, or interpret collected study data.', 'Participate in preparation and management of research budgets and monetary disbursements.', 'Participate in the development of study protocols including guidelines for administration or data collection procedures.', 'Instruct research staff in scientific and procedural aspects of studies including standards of care, informed consent procedures, or documentation procedures.', 'Communicate with laboratories or investigators regarding laboratory findings.', 'Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.', 'Order drugs or devices necessary for study completion.', 'Confer with health care professionals to determine the best recruitment practices for studies.', 'Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.']","['FileMaker Pro', 'Microsoft Access', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Project', 'SAS', 'SPSS', 'StataCorp Stata', 'The MathWorks MATLAB']","Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data."
Water Resource Specialists,"['Supervise teams of workers who capture water from wells and rivers.', 'Identify methods for distributing purified wastewater into rivers, streams, or oceans.']","['Perform hydrologic, hydraulic, or water quality modeling.', 'Conduct, or oversee the conduct of, investigations on matters such as water storage, wastewater discharge, pollutants, permits, or other compliance and regulatory issues.', 'Develop plans to protect watershed health or rehabilitate watersheds.', 'Develop strategies for watershed operations to meet water supply and conservation goals or to ensure regulatory compliance with clean water laws or regulations.', 'Identify and characterize specific causes or sources of water pollution.', 'Write proposals, project reports, informational brochures, or other documents on wastewater purification, water supply and demand, or other water resource subjects.', 'Present water resource proposals to government, public interest groups, or community groups.', 'Review or evaluate designs for water detention facilities, storm drains, flood control facilities, or other hydraulic structures.', 'Conduct, or oversee the conduct of, chemical, physical, and biological water quality monitoring or sampling to ensure compliance with water quality standards.', 'Conduct technical studies for water resources on topics such as pollutants and water treatment options.', 'Recommend new or revised policies, procedures, or regulations to support water resource or conservation goals.', 'Monitor water use, demand, or quality in a particular geographic area.', 'Analyze storm water systems to identify opportunities for water resource improvements.', 'Provide technical expertise to assist communities in the development or implementation of storm water monitoring or other water programs.', 'Compile water resource data, using geographic information systems (GIS) or global position systems (GPS) software.', 'Conduct cost-benefit studies for watershed improvement projects or water management alternatives.', 'Develop or implement standardized water monitoring and assessment methods.', 'Negotiate for water rights with communities or water facilities to meet water supply demands.', 'Compile and maintain documentation on the health of a body of water.']","['ESRI ArcGIS software', 'ESRI ArcView 3D Analyst', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Structured query language SQL']","Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues."
Postmasters and Mail Superintendents,"['Select and train postmasters and managers of associate postal units.', 'Inform the public of available services, and of postal laws and regulations.', 'Issue and cash money orders.', 'Collect rents for post office boxes.', 'Confer with suppliers to obtain bids for proposed purchases and to requisition supplies, disbursing funds according to federal regulations.']","[""Monitor employees' work schedules and attendance for payroll purposes."", 'Organize and supervise activities, such as the processing of incoming and outgoing mail.', 'Resolve customer complaints.', 'Prepare employee work schedules.', 'Direct and coordinate operational, management, and supportive services of one or a number of postal facilities.', 'Hire and train employees, and evaluate their performance.', 'Prepare and submit detailed and summary reports of post office activities to designated supervisors.', 'Negotiate labor disputes.']","['Data entry software', 'Microsoft Excel', 'SAP']","Plan, direct, or coordinate operational, administrative, management, and supportive services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office."
"Property, Real Estate, and Community Association Managers","['Determine and certify the eligibility of prospective tenants, following government regulations.', 'Confer regularly with community association members to ensure their needs are being met.', 'Negotiate the sale, lease, or development of property and complete or review appropriate documents and forms.', 'Clean common areas, change light bulbs, and make minor property repairs.', 'Negotiate short- and long-term loans to finance construction and ownership of structures.', 'Confer with legal authorities to ensure that renting and advertising practices are not discriminatory and that properties comply with state and federal regulations.', 'Analyze information on property values, taxes, zoning, population growth, and traffic volume and patterns to determine if properties should be acquired.', 'Contract with architectural firms to draw up detailed plans for new structures.', 'Negotiate with government leaders, businesses, special interest representatives, and utility companies to gain support for new projects and to eliminate potential obstacles.']","['Manage and oversee operations, maintenance, administration, and improvement of commercial, industrial, or residential properties.', 'Plan, schedule, and coordinate general maintenance, major repairs, and remodeling or construction projects for commercial or residential properties.', 'Direct collection of monthly assessments, rental fees, and deposits and payment of insurance premiums, mortgage, taxes, and incurred operating expenses.', 'Inspect grounds, facilities, and equipment routinely to determine necessity of repairs or maintenance.', 'Act as liaisons between on-site managers or tenants and owners.', 'Meet with prospective tenants to show properties, explain terms of occupancy, and provide information about local areas.', 'Market vacant space to prospective tenants through leasing agents, advertising, or other methods.', 'Prepare detailed budgets and financial reports for properties.', 'Maintain records of sales, rental or usage activity, special permits issued, maintenance and operating costs, or property availability.', 'Direct and coordinate the activities of staff and contract personnel and evaluate their performance.', 'Meet with clients to negotiate management and service contracts, determine priorities, and discuss the financial and operational status of properties.', 'Solicit and analyze bids from contractors for repairs, renovations, and maintenance.', 'Prepare and administer contracts for provision of property services such as cleaning, maintenance, and security services.', 'Investigate complaints, disturbances and violations and resolve problems following management rules and regulations.', 'Review rents to ensure that they are in line with rental markets.', 'Maintain contact with insurance carriers, fire and police departments, and other agencies to ensure protection and compliance with codes and regulations.', 'Meet with boards of directors and committees to discuss and resolve legal and environmental issues or disputes between neighbors.', 'Purchase building and maintenance supplies, equipment, or furniture.']","['Data entry software', 'Facebook', 'Google Analytics', 'Hypertext markup language HTML', 'Intuit QuickBooks', 'Microsoft Access', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Publisher', 'Sage 50 Accounting', 'Yardi', 'YouTube']","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way)."
